submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
03/30/2021,ND,103091,96567,6524,211,109,1466,,,0,0,03/31/2021 02:08:03 PM,Agree,Not agree
08/30/2020,AL,124488,115490,8998,786,125,3342,2928,414,14,2,09/01/2020 12:00:00 AM,Agree,Agree
10/03/2020,NC,216714,210613,6101,2007,190,3890,3844,46,19,1,10/03/2020 12:00:00 AM,Agree,Agree
05/28/2021,AL,542981,419368,123613,229,64,11372,9085,2287,2,0,05/30/2021 12:00:00 AM,Agree,Agree
06/27/2020,AL,35033,34616,417,179,0,1288,1190,98,21,3,06/29/2020 12:00:00 AM,Agree,Agree
03/02/2020,AL,0,0,0,0,0,1,0,1,0,0,03/04/2020 12:00:00 AM,Agree,Agree
01/05/2021,AL,380399,308585,71814,4647,1491,7590,6218,1372,70,12,01/07/2021 12:00:00 AM,Agree,Agree
06/25/2020,NC,57528,57512,16,1356,1,1374,1374,0,12,0,06/25/2020 12:00:00 AM,Agree,Agree
12/29/2021,NC,1656103,1392064,264039,14695,2876,19599,17245,2354,30,5,12/29/2021 12:00:00 AM,Agree,Agree
01/02/2021,ND,93041,89955,3086,150,24,1310,,,0,0,01/03/2021 02:53:25 PM,Agree,Not agree
08/03/2020,AL,92242,88581,3661,1045,87,2424,2194,230,30,3,08/05/2020 12:00:00 AM,Agree,Agree
09/11/2020,NC,185240,181592,3648,1704,89,3293,3271,22,35,2,09/11/2020 12:00:00 AM,Agree,Agree
12/07/2021,ND,165845,137145,28700,470,167,1939,,,11,0,12/08/2021 03:02:11 PM,Agree,Not agree
06/19/2020,ND,3226,3226,0,33,0,76,,,1,0,06/20/2020 02:15:45 PM,Agree,Not agree
07/21/2020,NC,102992,102593,399,1897,24,1837,1835,2,31,0,07/21/2020 12:00:00 AM,Agree,Agree
11/10/2021,AL,835777,617187,218590,1223,542,16230,12603,3627,15,3,11/12/2021 12:00:00 AM,Agree,Agree
07/28/2021,NC,1039018,885248,153770,3235,765,13796,12164,1632,10,2,07/28/2021 12:00:00 AM,Agree,Agree
06/13/2021,ND,110440,101327,9113,8,5,1520,,,0,0,06/14/2021 03:07:59 PM,Agree,Not agree
10/25/2020,AL,183360,157959,25401,881,121,4459,3824,635,19,4,10/27/2020 12:00:00 AM,Agree,Agree
08/18/2020,ND,8968,8968,0,186,0,130,,,2,0,08/19/2020 02:23:51 PM,Agree,Not agree
04/05/2021,ND,103974,97127,6847,260,185,1468,,,2,0,04/06/2021 01:43:58 PM,Agree,Not agree
11/05/2021,ND,151644,128595,23049,603,226,1791,,,3,0,11/06/2021 01:17:26 PM,Agree,Not agree
12/09/2021,NC,1559446,1312928,246518,4119,927,19121,16828,2293,24,4,12/09/2021 12:00:00 AM,Agree,Agree
09/27/2021,AL,788247,592956,195291,2008,841,15140,11777,3363,51,12,09/29/2021 12:00:00 AM,Agree,Agree
03/25/2021,NC,897877,779379,118498,1989,440,12689,11220,1469,10,2,03/25/2021 12:00:00 AM,Agree,Agree
05/30/2021,ND,109944,100980,8964,9,3,1512,,,0,0,05/31/2021 01:43:43 PM,Agree,Not agree
01/08/2022,AL,979462,716226,263236,9590,2331,16823,13051,3772,23,4,01/10/2022 12:00:00 AM,Agree,Agree
06/01/2020,ND,2625,2625,0,48,0,61,,,0,0,06/02/2020 02:16:17 PM,Agree,Not agree
08/06/2021,ND,112285,102543,9742,116,43,1542,,,0,0,08/07/2021 02:00:45 PM,Agree,Not agree
02/10/2021,NC,807571,711027,96544,3776,890,11620,10305,1315,63,17,02/10/2021 12:00:00 AM,Agree,Agree
09/30/2021,AL,793960,596589,197371,1896,529,15291,11889,3402,38,11,10/02/2021 12:00:00 AM,Agree,Agree
07/29/2020,NC,118473,117700,773,1606,59,2043,2040,3,25,0,07/29/2020 12:00:00 AM,Agree,Agree
10/14/2020,NC,236105,228167,7938,2070,262,4188,4121,67,36,5,10/14/2020 12:00:00 AM,Agree,Agree
06/07/2021,ND,110254,101202,9052,39,4,1516,,,0,0,06/08/2021 03:05:30 PM,Agree,Not agree
08/12/2020,AL,103891,99045,4846,733,63,2799,2501,298,30,6,08/14/2020 12:00:00 AM,Agree,Agree
09/22/2020,ND,18981,18981,0,473,0,203,,,7,0,09/23/2020 01:51:22 PM,Agree,Not agree
03/09/2020,ND,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Not agree
11/19/2020,NC,327435,309561,17874,4383,491,5413,5251,162,35,1,11/19/2020 12:00:00 AM,Agree,Agree
02/04/2020,AL,0,0,0,0,0,0,0,0,0,0,02/06/2020 12:00:00 AM,Agree,Agree
02/05/2020,NC,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
08/31/2021,AL,700615,535979,164636,4804,1630,13369,10472,2897,73,19,09/02/2021 12:00:00 AM,Agree,Agree
05/17/2020,AL,12115,11901,214,309,1,648,612,36,12,0,05/19/2020 12:00:00 AM,Agree,Agree
04/20/2020,ND,627,627,0,42,0,13,,,3,0,04/20/2020 04:22:39 PM,Agree,Not agree
04/21/2021,NC,945574,815244,130330,2016,527,12985,11474,1511,10,1,04/21/2021 12:00:00 AM,Agree,Agree
07/17/2020,NC,95657,95327,330,1966,40,1746,1744,2,22,0,07/17/2020 12:00:00 AM,Agree,Agree
08/08/2020,AL,99554,95146,4408,935,37,2648,2377,271,43,11,08/10/2020 12:00:00 AM,Agree,Agree
04/20/2021,ND,106218,98543,7675,176,57,1484,,,2,0,04/21/2021 02:12:05 PM,Agree,Not agree
02/01/2021,ND,97798,93381,4417,115,57,1422,,,0,0,02/02/2021 02:51:51 PM,Agree,Not agree
02/14/2021,NC,821677,722601,99076,2466,269,11827,10478,1349,52,8,02/14/2021 12:00:00 AM,Agree,Agree
08/09/2021,AL,612597,469033,143564,3798,1245,12066,9582,2484,44,12,08/11/2021 12:00:00 AM,Agree,Agree
02/11/2021,AL,477336,378197,99139,1254,365,10105,8088,2017,37,7,02/13/2021 12:00:00 AM,Agree,Agree
09/25/2021,ND,129330,114637,14693,141,44,1604,,,0,0,09/27/2021 01:21:43 PM,Agree,Not agree
03/12/2020,ND,1,,,1,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Not agree
09/17/2020,NC,192975,188816,4159,1662,111,3466,3435,31,37,2,09/17/2020 12:00:00 AM,Agree,Agree
02/02/2021,AL,463122,368150,94972,2243,735,9699,7759,1940,53,14,02/04/2021 12:00:00 AM,Agree,Agree
04/07/2020,NC,3148,3148,0,262,0,63,63,0,4,0,04/07/2020 12:00:00 AM,Agree,Agree
01/28/2021,ND,97458,93182,4276,153,45,1419,,,2,0,01/29/2021 02:42:19 PM,Agree,Not agree
03/07/2021,NC,868722,758203,110519,1319,269,12442,11003,1439,21,5,03/07/2021 12:00:00 AM,Agree,Agree
04/19/2021,AL,523235,407439,115796,1443,1139,11100,8871,2229,2,0,04/21/2021 12:00:00 AM,Agree,Agree
06/14/2020,ND,3080,3080,0,22,0,74,,,0,0,06/15/2020 02:33:03 PM,Agree,Not agree
01/15/2022,NC,2074782,1743751,331031,36739,4945,20133,17701,2432,38,8,01/15/2022 12:00:00 AM,Agree,Agree
08/24/2020,NC,158992,156716,2276,1214,15,2789,2780,9,28,1,08/24/2020 12:00:00 AM,Agree,Agree
08/18/2020,NC,149084,147187,1897,1273,96,2623,2616,7,32,1,08/18/2020 12:00:00 AM,Agree,Agree
09/09/2020,NC,182272,178800,3472,1067,127,3237,3218,19,25,1,09/09/2020 12:00:00 AM,Agree,Agree
10/22/2020,AL,179155,155304,23851,3723,2689,4397,3777,620,17,3,10/24/2020 12:00:00 AM,Agree,Agree
08/06/2021,NC,1072224,912043,160181,4763,1027,13947,12292,1655,28,7,08/06/2021 12:00:00 AM,Agree,Agree
06/18/2021,NC,1001663,857149,144514,472,140,13571,11968,1603,3,0,06/18/2021 12:00:00 AM,Agree,Agree
12/13/2020,ND,88067,85988,2079,196,11,1157,,,5,0,12/14/2020 02:36:45 PM,Agree,Not agree
